Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Eye shadow effect (product.metafields.shopify.eye-shadow-effect),Eyebrow enhancer color (product.metafields.shopify.eyebrow-enhancer-color),Face powder color (product.metafields.shopify.face-powder-color),Face powder type (product.metafields.shopify.face-powder-type),Flavor (product.metafields.shopify.flavor),Fragrance level (product.metafields.shopify.fragrance-level),Hair care finish (product.metafields.shopify.hair-care-finish),Heat settings (product.metafields.shopify.heat-settings),Lip gloss effect (product.metafields.shopify.lip-gloss-effect),Lip liner design (product.metafields.shopify.lip-liner-design),Lipstick effect (product.metafields.shopify.lipstick-effect),Makeup shade (product.metafields.shopify.makeup-color-shade),Makeup features (product.metafields.shopify.makeup-features),Mascara effect (product.metafields.shopify.mascara-effect),Moisturizer type (product.metafields.shopify.moisturizer-type),Occasion (product.metafields.shopify.occasion),Package type (product.metafields.shopify.package-type),Plate type (product.metafields.shopify.plate-type),Product benefits (product.metafields.shopify.product-benefits),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin tone (product.metafields.shopify.skin-tone),Skin undertone (product.metafields.shopify.skin-undertone),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,12Pcs-Black,,,,,,,,14:193#12Pcs-Black,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S16c9d146e7ec420f8bceac20324b204eZ.webp?v=1760215721,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S1259888d638d43f19bab406c717b9a84b.webp?v=1760215720,kg,,2.16,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,01,,,,,,,,14:29#01,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S145ce80101304d0b960476876f849a54K.webp?v=1760215720,14,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S77f80c8855ef4104b63ac9201e78778d8.webp?v=1760215721,kg,,2.09,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,12Pcs-Pink,,,,,,,,14:1052#12Pcs-Pink,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sfe18783918524210ba003ef6232f5751a.webp?v=1760215721,15,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sfe18783918524210ba003ef6232f5751a.webp?v=1760215721,kg,,1.97,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,04,,,,,,,,14:350852#04,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sa567c769f6ef4e5588f92a906ac75f85k.webp?v=1760215720,16,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sf8bbb2d35dd24494910264949d9289afF.webp?v=1760215720,kg,,2.17,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,07,,,,,,,,14:201335404#07,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Se06edf0bfa9e4471b6481ec54cbdcdca2.webp?v=1760215720,17,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sde1983b058344d42bc360c3057c757cat.webp?v=1760215721,kg,,2.11,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,12Pcs-Purple,,,,,,,,14:496#12Pcs-Purple,30.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S77f80c8855ef4104b63ac9201e78778d8.webp?v=1760215721,18,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sde097a2d49d047deacdf999180298f5eX.webp?v=1760215720,kg,,2.08,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sf8bbb2d35dd24494910264949d9289afF.webp?v=1760215720,19,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Scea2bc243cae4cfea2c704f98fa6a945e.webp?v=1760215720,20,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sf71fd7cb19f445b3be7837aa904fbe8bZ.webp?v=1760215721,21,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S9c25d48cab4d49e2ac4f3a0b40c19f487.webp?v=1760215720,22,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S31b11a42e57549afbc11e71723209f3bA.webp?v=1760215721,23,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S1259888d638d43f19bab406c717b9a84b.webp?v=1760215720,24,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sdbecce52f12544c8a4153a7a0a2a0444C.webp?v=1760215721,25,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S2251337cd27b41be853bb0f8bcfbb8f2t.webp?v=1760215721,26,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
